Id,Expected
1,168.87936635944766
2,20.250414746543843
3,20.92437788018434
4,95.37185483870965
5,52.8918663594472
6,33.526336405529975
7,162.95301843318077
8,22.843709677419323
9,61.89023041474651
10,70.28496543778792
11,36.96480414746517
12,63.78570276497703
13,62.61031105990796
14,37.68592165898631
15,46.01044930875554
16,66.51112903225781
17,91.72069124423975
18,81.88608294930869
19,109.51672811059865
20,35.941082949308736
21,102.84850230414796
22,162.71904377880037
23,37.2044354838709
24,28.26516129032244
25,83.43337557603671
26,108.34698156682012
27,33.224861751152076
28,17.382142857142977
29,37.61419354838725
30,33.90760368663589
31,71.24919354838735
32,52.35216589861719
33,99.96986175115141
34,85.13460829493016
35,97.5015668202759
36,23.11513824884792
37,100.35207373271807
38,42.65525345622121
39,85.91179723502283
40,46.35129032258058
41,53.947523041474966
42,18.13200460829489
43,165.10016129032172
44,109.28615207373271
45,72.2541474654381
46,67.01705069124428
47,84.17524193548351
48,102.73116359447053
49,64.652880184332
50,42.726221198156665
51,18.28625576036858
52,34.54198156682013
53,32.86686635944682
54,16.196751152073627
55,80.69814516129028
56,83.26796082949278
57,55.64914746543828
58,96.77950460829466
59,67.36119815668224
60,73.697868663595
61,50.86328341013831
62,67.12158986175115
63,162.12201612903243
64,65.10123271889341
65,42.658686635944726
66,43.69647465437751
67,33.03179723502295
68,85.1158410138247
69,21.38584101382487
70,34.76716589861746
71,37.655748847926354
72,65.15444700460787
73,16.78767281105997
74,99.98881336405442
75,102.51540322580638
76,168.96061059907947
77,40.722476958525355
78,35.15949308755745
79,26.85408986175098
80,52.58171658986158
81,109.06040322580688
82,76.73558755760322
83,60.42957373271859
84,43.86308755760371
85,53.3296543778805
86,58.454585253456116
87,30.750080645161223
88,20.06514976958549
89,91.4216935483873
90,62.42981566820247
91,64.49487327188942
92,11.041140552995454
93,16.933306451612985
94,54.880691244239706
95,54.54097926267289
96,64.17805299539157
97,157.5458640552975
98,36.0726267281107
99,48.63327188940073
100,37.25663594470052
101,65.76392857142798
102,43.8390092165897
103,93.43648617511515
104,20.363225806451705
105,54.09217741935522
106,70.34705069124436
107,63.29542626728083
108,14.67445852534559
109,78.19571428571359
110,27.724470046082928
111,92.16247695852553
112,39.84930875576056
113,30.684861751152013
114,25.446036866359528
115,93.55380184331827
116,19.433755760368715
117,46.088145161290164
118,37.34182027649759
119,45.21774193548365
120,35.96983870967725
121,31.62830645161279
122,28.301094470046124
123,67.84072580645208
124,45.2987211981568
125,102.13000000000031
126,79.14451612903189
127,21.268214285714325
128,39.70805299539199
129,78.24324884792605
130,32.39647465437764
131,63.38586405529953
132,67.18854838709683
133,46.77350230414754
134,48.94013824884784
135,20.75769585253452
136,38.07463133640561
137,84.48920506912438
138,34.0575921658984
139,17.1675576036868
140,25.786566820276466
141,13.333387096774251
142,85.19194700460788
143,30.59058755760371
144,45.44294930875569
145,36.61314516129023
146,34.87032258064505
147,82.22596774193492
148,25.524112903225934
149,33.75667050691248
150,19.222246543778844
151,15.031117511520675
